Original_SMILES,R1,R2,R3,R4,cellv
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2CCOC2)C=CN=C1,C1CC(O[*:1])CO1,[H][*:2],N#CC[*:3],[H][*:4],51.77481771
CN(C)C(=O)C1CN(CCO1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN(C)C(=O)C1CN([*:1])CCO1,[H][*:2],F[*:3],[H][*:4],50.7968453
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OCCO)C=CN=C1,OCCO[*:1],[H][*:2],N#CC[*:3],[H][*:4],50.77264136
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2CCCOC2)C=CN=C1,C1COCC(O[*:1])C1,[H][*:2],N#CC[*:3],[H][*:4],50.54369145
CN1CCC(CC1=O)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN1CCC([*:1])CC1=O,[H][*:2],F[*:3],[H][*:4],50.07276077
COCCOC1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COCCO[*:1],[H][*:2],Cl[*:3],[H][*:4],49.21423464
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(O[C@H]2CCOC2)C=CN=C1,C1C[C@H](O[*:1])CO1,[H][*:2],N#CC[*:3],[H][*:4],47.894751299999996
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(O[C@@H]2CCOC2)C=CN=C1,C1C[C@@H](O[*:1])CO1,[H][*:2],N#CC[*:3],[H][*:4],47.53176481
COC1=CN=CC(NC(=O)C2=C3N=CC(F)=CN3N=C2N)=C1C1CC1,C1CC1[*:1],CO[*:2],F[*:3],[H][*:4],47.36899469
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2COC2)C=CN=C1,C1OCC1O[*:1],[H][*:2],N#CC[*:3],[H][*:4],47.29845858
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OCC2CC2)C=CN=C1,C1CC1CO[*:1],[H][*:2],N#CC[*:3],[H][*:4],46.92655881
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCOCC1,C1CN([*:1])CCO1,[H][*:2],F[*:3],[H][*:4],45.58966814
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(O)CC1,OC1CCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],45.46470535
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2CCC2)C=CN=C1,C1CC(O[*:1])C1,[H][*:2],N#CC[*:3],[H][*:4],45.41399493
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OCC(F)(F)F)C=CN=C1,FC(F)(F)CO[*:1],[H][*:2],N#CC[*:3],[H][*:4],44.67795939
COC1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CO[*:1],[H][*:2],Cl[*:3],[H][*:4],44.60711791
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2CCOCC2)C=CN=C1,C1CC(O[*:1])CCO1,[H][*:2],N#CC[*:3],[H][*:4],44.50431624
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCS(=O)(=O)CC2)C(F)=CN=C1,O=S1(=O)CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],44.42048838
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2C(COCC2=O)C1,O=C1COCC2CN([*:1])CCN12,[H][*:2],F[*:3],[H][*:4],43.834568299999994
