Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-C-60,24.9346423,2365.47122,44.05376433,71.93225479,76.98597493,0.296481768
Compound_I-C-61,20.93436211,2231.027933,39.42718036,65.70682141,70.83080675,0.335564484
Compound_I-C-62,22.23468919,372.5366499,33.80143456,56.27577627,60.88535406,0.220534098
Compound_I-C-63,21.45110521,6408.08643,38.7426975,72.65881525,78.23453127,0.184680459
Compound_I-C-64,13.34954541,119.3897823,29.36524913,37.01547368,41.69971083,0.194213418
Compound_I-C-65,25.99109102,1509.419613,32.54597229,59.34279055,72.24571154,0.18950777
Compound_I-C-66,6.1029178,29.41807163,5.803974198,8.059812082,11.30464314,0.138031476
Compound_I-C-67,22.58815829,625.4963013,32.73072934,52.3533709,57.05771048,0.180083624
Compound_I-C-68,29.63244963,3099.402561,40.89877903,76.12420238,83.62009157,0.221318713
Compound_I-C-69,35.78550723,136957.4236,85.75501012,193.2120694,150.8360522,0.336731836
Compound_I-C-70,21.06459689,5735.353083,45.11252273,109.8240069,84.76579402,0.280226991
Compound_I-C-71,22.99546891,5120.596923,31.58586805,75.66752831,72.9178893,0.229354935
Compound_I-C-72,28.78406028,11360.98489,49.7101081,91.57409416,97.32467198,0.222209431
Compound_I-C-73,50.07276077,941001.1091,142.4599803,385.8580458,268.5496281,0.396816006
Compound_I-C-74,17.34297822,396.1088499,32.05479464,47.98820518,49.93156578,0.327517974
Compound_I-C-75,54.41742506,29525.37425,85.98866441,154.6545006,171.4340136,0.380493306
Compound_I-C-76,64.34392555,744312.4536,133.7794092,206.1389428,183.2500864,0.60407933
Compound_I-C-77,11.58200154,174.5565921,15.52883903,30.19137554,31.91182399,0.181444605
Compound_I-C-78,13.02647726,329.7777963,21.11809474,33.33406606,38.99895995,0.167493192
Compound_I-C-79,38.03315469,1887.991889,101.3916094,142.2882527,147.3526482,0.341883692
Compound_I-C-80,12.52759095,176.4070463,19.02333121,32.73041652,35.62377826,0.210631743
Compound_I-C-81,12.79365124,464.7225306,20.02114244,35.02409226,43.10056785,0.204979783
Compound_I-C-82,29.78731062,2342.956752,45.60894662,76.90164191,100.9524861,0.204955811
Compound_I-C-83,12.49674686,259.5952839,19.80509873,33.96832682,45.63507982,0.203654305
Compound_I-C-84,47.36899469,23490519.28,117.4515837,356.1977414,212.9547316,0.604481206
Compound_I-G-1,10.25805895,36.1257567,7.027396752,13.05664259,16.72639253,0.095890733
Compound_I-G-2,32.0444994,5332.375434,54.72307748,159.0321782,102.1051476,0.163092159
Compound_I-G-3,9.896433296,32.41070832,7.514070767,14.2422852,17.64887047,0.092577953
Compound_I-G-4;Compound_I-G-55,12.56355668,36.63592274,8.899276739,16.2959247,18.61062556,0.09247992
Compound_I-G-5,8.767682693,29.26995742,6.951908535,12.83988763,15.95878009,0.079428291
Compound_I-G-6,11.1741391,35.37152414,7.577492656,15.07535139,19.65001592,0.079137061
Compound_I-G-7,6.883745843,23.62951904,5.814492432,8.620296986,12.57660474,0.067264092
Compound_I-G-8,22.82687431,1387.064875,45.2612322,133.6098627,86.96397745,0.111132323
Compound_I-G-9,10.4204702,36.99871619,6.270268202,14.99372717,16.30299482,0.087700189
Compound_I-G-10,10.22946584,35.9997709,7.479105549,15.39458504,15.67153514,0.071737315
Compound_I-G-11,13.27679914,50.83054726,10.27253972,17.33069757,24.87325082,0.082734124
