Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-C-45,40.97654748,221.4813712,48.96176414,79.71151618,144.5539012,2.225519119
Compound_I-C-46,38.69522406,257.2599385,52.52861823,83.89408893,147.5960876,1.946389126
Compound_I-C-47,147.1373809,4638201.106,335.893744,1011.353894,1139.411043,6.394287931
Compound_I-C-48,25.55700614,132.7092307,28.98547509,41.69351945,92.38997515,1.638272496
Compound_I-C-49,38.88814416,330.5642217,41.39366607,79.52978925,134.5285858,1.901885814
Compound_I-C-50,61.99268473,245.7703221,88.35015635,114.4000311,257.0641066,5.065116644
Compound_I-C-51,35.68528548,364.1728848,38.991726,80.475307,125.2693993,1.939775492
Compound_I-C-52,66.54172745,795.8887264,63.06731422,122.0075969,245.1827581,2.267918495
Compound_I-C-53,39.41837064,210.1455054,39.13140589,55.22740548,118.91395,2.746371443
Compound_I-C-54,34.82656552,227.5056574,41.13635724,58.14348201,130.0296452,2.457796566
Compound_I-C-55,152.1599035,87576.78064,317.2648854,670.6962976,790.4699461,5.204947816
Compound_I-C-56,92.13558427,14889.51813,145.6550428,281.0808837,316.9805182,3.319787828
Compound_I-C-57,192.270002,1005779.785,436.1765623,881.7655391,706.4696811,5.5242861
Compound_I-C-58,192.379068,33176010546,784.5968686,1444.634553,1689.865015,7.43107646
Compound_I-C-59,170.4807634,1129476.407,358.1155738,680.5572276,952.9155252,5.703051945
Compound_I-C-60,172.1254861,1143964.608,475.8027127,809.4817243,827.0198768,6.721479727
Compound_I-C-61,161.1935958,825258.0244,436.8373553,987.5111927,744.6730285,9.851867439
Compound_I-C-62,149.5501603,16316.98901,286.7716081,547.7817751,574.3077061,5.834322925
Compound_I-C-63,168.2294002,36675298.46,534.9294525,1114.823763,1008.63563,5.60379005
Compound_I-C-64,76.08175236,1487.150838,168.9531915,314.7284286,277.8317915,4.796868342
Compound_I-C-65,331.0507839,1020721.296,628.1765232,1455.823051,1774.047009,8.686094751
Compound_I-C-66,34.72553928,336.3290821,39.58338002,68.54807285,104.5216012,2.084543901
Compound_I-C-67,161.3201698,57360.78897,326.5744283,607.1838949,635.5781886,5.804268506
Compound_I-C-68,261.6529749,2957432.568,599.726088,1252.445459,1540.511534,8.918176666
Compound_I-C-69,287.8003474,N/A,1279.377967,4135.942315,2177.150518,13.74970854
Compound_I-C-70,144.3976115,13147080.58,547.9675735,1750.457731,955.9465668,7.186801909
Compound_I-C-71,154.2901566,11011319.01,431.9379103,1303.347022,825.5001604,6.870917293
Compound_I-C-72,297.7303407,352353423.1,931.9740157,1746.809286,1708.884133,8.346415048
Compound_I-C-73,399.4180833,N/A,2724.675233,13478.95664,5432.720627,21.57868706
Compound_I-C-74,128.4422112,40359.4037,281.767864,464.7198265,449.0427723,7.836176861
Compound_I-C-75,418.0335014,2.58E+11,1383.674624,2451.222765,3206.040949,16.58871392
Compound_I-C-76,475.1407368,N/A,2259.505223,3382.353946,2551.549505,27.39083985
Compound_I-C-77,74.59194324,4919.858254,142.1493401,291.1966998,355.8382758,3.591855536
Compound_I-C-78,81.9733841,16376.46594,186.3635335,366.7292945,507.2830852,3.411741674
Compound_I-C-79,265.6258721,646023.5205,558.3226273,761.9137667,1093.572783,12.97972285
Compound_I-C-80,82.42642072,5016.880481,160.5582135,304.8795138,338.3660762,3.538103722
Compound_I-C-81,89.56611307,26418.85341,208.334678,369.7059492,544.4853202,3.402071248
Compound_I-C-82,223.0736351,860808.0724,543.2596165,960.1364724,1373.984555,6.173096435
Compound_I-C-83,93.07080416,10614.25761,218.0580551,360.7842248,472.700374,3.721935591
Compound_I-C-84,331.1844039,N/A,1328.653261,12266.85252,2294.747268,14.90275077
Compound_I-G-1,91.45494971,548.2941469,84.21885937,178.8780427,349.5880029,1.861783859
Compound_I-G-2,248.5050354,17945556.62,678.1104419,3595.574072,1418.388898,7.026848808
Compound_I-G-3,70.05857176,384.6965355,78.49298472,150.8063469,277.8282266,1.574493317
Compound_I-G-4;Compound_I-G-55,102.2167085,469.003113,105.4880336,216.3293564,389.9301264,1.58895983
Compound_I-G-5,59.29709297,302.4051543,63.84648729,110.2563469,214.8062316,1.43299826
Compound_I-G-6,75.02391264,415.8610003,79.73189386,161.5948285,327.3111954,1.634519615
Compound_I-G-7,40.05390503,215.1395678,42.57356937,75.76780384,161.5244145,1.090481597
Compound_I-G-8,154.978961,294358.8017,490.2839313,2360.015294,1200.53716,4.630584046
Compound_I-G-9,77.61873258,457.8679036,72.96753845,191.8495526,305.9426456,1.37979249
Compound_I-G-10,63.02501118,413.1748774,76.21509577,170.016982,276.9786117,1.782517068
Compound_I-G-11,85.16161294,532.676663,103.3485824,226.1987324,342.7893358,1.962700911
Compound_I-G-12;Compound_I-G-56,90.63981929,316.0771275,70.57314268,127.0359365,307.321744,1.809009955
Compound_I-G-13,50.77654676,381.4270998,57.55606731,150.8989514,218.7009579,1.199669802
Compound_I-G-72;Compound_I-G-14,149.4186509,1499098.986,491.0308815,1522.143315,753.4070682,4.029336536
Compound_I-G-15,58.58380523,261.5569788,61.05797706,113.3175205,194.4367842,1.586656279
Compound_I-G-16,91.16444843,687.8778705,125.1670405,196.3199354,327.6223559,3.225860118
Compound_I-G-18,56.93305644,635.0228214,117.2130041,248.6490294,274.1424632,2.22694699
Compound_I-G-19,169.3638378,678617.2717,404.7209437,1855.713216,869.7539871,4.510438482
Compound_I-G-20,72.17644863,440.3029589,82.42096366,157.6050969,284.2850957,1.840883736
Compound_I-G-21,206.1060283,2555971.401,580.4597338,3226.063621,1091.586738,5.287076877
Compound_I-G-22,119.4299777,1375.477497,182.5666456,413.8655208,461.2421637,3.096602383
Compound_I-G-23,160.8790962,1052.87317,179.5755383,289.7190237,702.9294737,3.20651026
Compound_I-G-24,96.50700758,696.3443808,127.5943779,244.0076809,434.4175123,2.30347728
Compound_I-G-25,82.64884518,446.2497991,97.43516369,161.006863,372.5163043,1.881216212
Compound_I-G-26,73.66696737,465.7909078,97.37138728,142.1107162,289.0498957,2.613185536
Compound_I-G-27,67.57265599,365.1057593,67.47951331,129.8523801,272.4908946,1.499160778
Compound_I-G-29,248.8101699,33010626.12,833.1591513,3956.719447,1783.019603,6.512684214
Compound_I-G-30,68.84558052,475.5595609,80.65805882,135.4455206,316.5221701,2.267950383
Compound_I-G-31,105.9203616,781.6348648,133.4918235,260.1932637,360.5468103,2.779901363
Compound_I-G-32,77.31413053,1111.90392,124.9253992,163.3439369,339.2037792,4.130914586
Compound_I-G-33,230.3622482,540920489.9,1017.667403,4054.512723,2509.198433,8.181547061
Compound_I-G-34,145.9214304,1102.135998,201.0069207,393.8100126,616.9069183,2.970054756
Compound_I-G-35,40.7835766,297.6989381,42.88474373,117.190383,157.4301464,1.244112407
Compound_I-G-36,251.9210801,929699.4543,794.5501697,6932.972574,1739.405379,4.550536387
Compound_I-G-37,313.2093587,841415.4462,784.3576559,4775.935272,1922.484284,5.648284512
Compound_I-G-38,71.08654786,287.31345,76.16086218,146.6702576,246.1110162,1.542379736
Compound_I-G-40,241.0038042,446501.2167,702.8009654,4405.773421,1362.166903,4.559560185
Compound_I-G-41,189.129574,817321.1805,510.2196489,2073.600988,1080.552502,6.404348254
Compound_I-G-42,51.8908753,309.9956245,59.40401128,96.24348813,205.3954354,2.031737619
Compound_I-G-43,65.17476794,583.2642344,85.89951035,169.2828186,237.8233335,2.344743262
Compound_I-G-44,73.06454344,570.9422593,111.1227567,253.9044638,379.6934978,2.202039159
Compound_I-G-45,56.68929234,261.5946739,73.18163855,143.6520523,263.5770475,1.539023048
Compound_I-G-46,69.61922747,446.0010666,86.21085279,182.0576224,319.7511096,1.441174522
Compound_I-G-47,63.51027001,348.1584155,72.38246477,152.5101878,259.4347199,1.333160399
Compound_I-G-48,58.1097802,225.8333364,47.53988767,95.96790327,209.2370178,1.719584248
Compound_I-G-49,62.37456084,579.7478229,94.87167289,174.509861,254.8014543,2.440690667
Compound_I-G-50,55.1502257,306.4708302,63.35931724,130.6962872,226.0477345,1.289032861
Compound_I-G-51,52.23710772,345.4034539,89.81121292,164.5514038,209.908315,2.107732666
Compound_I-G-52,68.45828126,428.8207111,87.88167123,192.9109623,276.3277923,2.132346787
Compound_I-G-53,117.21625,987.3923479,172.5972344,395.6265248,385.7692086,3.105911264
Compound_I-G-54,72.96938402,380.8488696,81.21829764,150.9581695,276.0839516,1.668972404
Compound_I-G-57,56.00539591,472.6813877,73.80716843,142.2492022,179.4423249,2.209610319
Compound_I-G-58,56.84930601,336.3620216,53.65564268,103.6427311,175.3897902,1.772494022
Compound_I-G-59,45.69331503,246.3061536,50.5031038,81.26165207,143.2168225,1.767310123
Compound_I-G-60,45.559347,210.1488343,48.20097466,82.23021417,129.130894,1.771358446
Compound_I-G-61,62.57271374,370.8461383,73.17993838,156.5774467,266.9054512,1.518316437
Compound_I-G-62,85.87721251,478.411633,92.53159888,188.9521089,441.4712187,2.187852212
Compound_I-G-63,185.2473142,473284.8939,521.5883321,2000.162853,1282.67524,6.116432108
Compound_I-G-64,50.11333812,319.9763507,57.44511231,110.26948,160.0251551,2.091740381
Compound_I-G-65,55.53376511,392.9322189,71.1122184,142.056269,255.3113417,1.770302243
Compound_I-G-66,31.79183403,170.8009921,35.93964428,64.04487719,116.842935,1.223836553
Compound_I-G-74;Compound_I-G-67,119.5043424,53843.61876,331.8478847,846.3590634,556.4133617,5.117407731
Compound_I-G-68,45.64723426,251.6143995,52.77417153,106.8060581,158.0472802,1.56779913
Compound_I-G-69,53.64759299,352.8030349,70.74915857,142.3935079,225.1785204,1.682240635
Compound_I-G-70,69.88659688,486.8298947,79.27479607,183.8311147,298.815884,1.45831837
Compound_I-G-71,70.91341091,516.3890628,78.29940545,161.7471666,334.5422078,1.6934713
Compound_I-G-73,134.206989,634290.0824,437.6219228,1366.644596,860.3989899,4.710059778
Compound_I-G-75,181.391363,659998.3851,551.0907645,3018.131092,932.6700525,4.353124292
Compound_I-G-76,161.9826863,48613959.42,500.0913797,2532.690462,956.2087993,6.787958671
