index;count;R1
252;1;CN1CCN(C2CCN([*:1])CC2)CC1
253;1;O=C(C1CCN([*:1])CC1)N1CCC(N2CCCC2)CC1
254;1;CN1CC[C@@H](OC2CCN([*:1])CC2)C1
255;1;CN1CC2CN(C(=O)C3CCN([*:1])CC3)CC2C1
256;1;c1nc(C2CCN([*:1])CC2)no1
257;1;C1CCN(C2CCN([*:1])CC2)C1
258;1;O=C(C1CC1)N1CCN([*:1])CC1
259;1;F[C@@H]1CCN(C2CCN([*:1])CC2)C1
260;1;C1CC2(CCN([*:1])CC2)CN1
261;1;O=C(NC1COC1)C1CCN([*:1])CC1
262;1;c1cncc([*:1])c1
263;1;COC(=O)[C@H]1CC[C@@H](O[*:1])CC1
264;1;C1CN(C2COC2)CCC1O[*:1]
265;1;CN1CCC(S(=O)(=O)N2CCN([*:1])CC2)CC1
266;1;Cc1ncc([*:1])n1C
267;1;C1CN([*:1])CC2(C1)COC2
268;1;Cc1nc(N2CCN(C)CC2)ccc1[*:1]
269;1;CN1CCC(OC2CCN([*:1])CC2)CC1
270;1;C1CN2CCC1C(O[*:1])C2
271;1;COCC1CCN([*:1])CC1
272;1;CS(=O)(=O)CC1CCN([*:1])CC1
273;1;CC(C)(C)O[*:1]
274;1;CC1(O)CN(C(=O)C2CCN([*:1])CC2)C1
275;1;Cc1nccn1[*:1]
276;1;O=C(C1CCN([*:1])CC1)N1CCC(N2CCC2)CC1
277;1;[O-][S+]1CCC(O[*:1])CC1
278;1;Cn1cncc1[*:1]
279;1;CO[*:1]
280;1;NC1CCCN([*:1])C1
281;1;Cc1ncn([*:1])n1
282;1;CN1CC(OC2CCN([*:1])CC2)C1
283;1;O=S(=O)(C1CCOCC1)N1CCN([*:1])CC1
284;1;CCN1CCN(C(=O)C2CCN([*:1])CC2)CC1
285;1;CCOC1CN(C(=O)C2CCN([*:1])CC2)C1
286;1;O=C(c1ccc([*:1])cn1)N1CCC(N2CCC2)CC1
287;1;O=S1CCN(C2CCN([*:1])CC2)CC1
288;1;C1CN([*:1])CCC1N1CCC12COC2
289;1;O=C(C1CCN([*:1])CC1)N1CC(O)C1
290;1;O=C(C1CCN([*:1])CC1)N1CC2CCC(C1)N2
291;1;CN(C)C(=O)C1CCCN([*:1])C1
292;1;CN(C)C(=O)[C@H]1CC[C@@H](O[*:1])CC1
